From,To
Sybase,EMC
Sybase,Composite Software
Sybase,MicroStrategy
Sybase,Revolution Analytics
Sybase,SAP
Syncsort,Hortonworks
Syncsort,NetApp
Tableau,Amazon
Tableau,Cloudera
Tableau,IBM
Tableau,MapR
Tableau,Microsoft
Tableau,Hive
Tableau,Aster Data
Tableau,EnterpriseDB
Tableau,Netezza
Tableau,Platform Computing
Tableau,Tresata
Tableau,Vertica
Talend,Cloudera
Talend,EMC
Talend,Hortonworks
Talend,MapR
Talend,EnterpriseDB
Talend,MicroStrategy
Talend,Opera Solutions
Talend,ParAccel
Talend,Revolution Analytics
Talend,Teradata
Talend,Vertica
Teradata,EMC
Teradata,Hortonworks
Teradata,MapR
Teradata,Revolution Analytics
ThinkBigAnalytics,Datameer
ThinkBigAnalytics,Amazon
ThinkBigAnalytics,Cloudera
ThinkBigAnalytics,Hortonworks
ThinkBigAnalytics,IBM
ThinkBigAnalytics,MapR
ThinkBigAnalytics,Greenplum
Third Eye,Aster Data
Third Eye,Kitenga
Tibco,Hive
Tibco,Attivio
Tidemark,Cloudera
Trendwise Analytics,Cloudera
Trendwise Analytics,Hortonworks
Trendwise Analytics,HPCC Systems
Tresata,Hortonworks
Univa,Amazon
Vertica,Amazon
Vertica,EMC
Vertica,Hortonworks
Vertica,IBM
Vertica,Cisco
Vertica,HP
Vmware,Datameer
Vmware,Hortonworks
Vmware,MapR
Vmware,Univa
VoltDB,Cloudera
VoltDB,Hortonworks
Zettaset,Cloudera
Zettaset,Hortonworks
Zettaset,IBM
